...
| rollout/                |              |
|    iterations           | 2073         |
|    time_elapsed         | 53282        |
|    total_timesteps      | 2985120      |
| train/                  |              |
|    approx_kl            | 0.0010330919 |
|    clip_fraction        | 0.00125      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.42        |
|    explained_variance   | 0.0356       |
|    learning_rate        | 0.0001       |
|    loss                 | -0.274       |
|    n_updates            | 20720        |
|    policy_gradient_loss | -0.00172     |
|    std                  | 54.6         |
|    value_loss           | 2.81e-06     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 2073         |
|    time_elapsed         | 53282        |
|    total_timesteps      | 2985120      |
| train/                  |              |
|    approx_kl            | 0.0010330919 |
|    clip_fraction        | 0.00125      |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.42        |
|    explained_variance   | 0.0356       |
|    learning_rate        | 0.0001       |
|    loss                 | -0.274       |
|    n_updates            | 20720        |
|    policy_gradient_loss | -0.00172     |
|    std                  | 54.6         |
|    value_loss           | 2.81e-06     |
------------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 1.69e+06  |
|    ep_rew_mean          | -1.08     |
| time/                   |           |
|    fps                  | 56        |
|    iterations           | 2074      |
|    time_elapsed         | 53282     |
|    total_timesteps      | 2986560   |
| train/                  |           |
|    approx_kl            | 0.0044409 |
|    clip_fraction        | 0.00597   |
|    clip_range           | 0.25      |
|    entropy_loss         | -5.42     |
|    explained_variance   | -0.00192  |
|    learning_rate        | 0.0001    |
|    loss                 | -0.274    |
|    n_updates            | 20730     |
|    policy_gradient_loss | -0.00238  |
|    std                  | 54.7      |
|    value_loss           | 8.19e-06  |
---------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 1.69e+06  |
|    ep_rew_mean          | -1.08     |
| time/                   |           |
|    fps                  | 56        |
|    iterations           | 2074      |
|    time_elapsed         | 53282     |
|    total_timesteps      | 2986560   |
| train/                  |           |
|    approx_kl            | 0.0044409 |
|    clip_fraction        | 0.00597   |
|    clip_range           | 0.25      |
|    entropy_loss         | -5.42     |
|    explained_variance   | -0.00192  |
|    learning_rate        | 0.0001    |
|    loss                 | -0.274    |
|    n_updates            | 20730     |
|    policy_gradient_loss | -0.00238  |
|    std                  | 54.7      |
|    value_loss           | 8.19e-06  |
---------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 2075         |
|    time_elapsed         | 53283        |
|    total_timesteps      | 2988000      |
| train/                  |              |
|    approx_kl            | 0.0028579524 |
|    clip_fraction        | 0.0041       |
|    clip_range           | 0.25         |
|    entropy_loss         | -5.42        |
|    explained_variance   | -0.00395     |
|    learning_rate        | 0.0001       |
|    loss                 | -0.274       |
|    n_updates            | 20740        |
|    policy_gradient_loss | -0.00236     |
|    std                  | 54.7         |
|    value_loss           | 1.76e-06     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.69e+06     |
|    ep_rew_mean          | -1.08        |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 2075         |
|    time_elapsed         | 53283        |
|    total_timesteps      | 2988000      |
| train/                  |              |
|    approx_kl            | 0.0028579524 |
|    clip_fraction        | 0.0041       |
